id;produto_fk;cultura;cultura_norm;praga_nome_cientifico;praga_cientifico_norm;praga_nome_comum;praga_comum_norm;dose_min;dose_max;dose_unidade;volume_calda_min;volume_calda_max;volume_calda_unidade;num_max_aplicacoes;intervalo_aplicacao;carencia_dias;carencia_texto;epoca_aplicacao;fonte_pagina;fonte_trecho;status;volume_calda_outros;marca_comercial
18752;10420;Soja;soja;Euphorbia heterophylla;euphorbia heterophylla;Amendoim-bravo;amendoim-bravo;0.7;0.7;L/ha;;;;1;;84;;Aplicar na dose de 0,7 L/ha quando a espécie estiver no estádio de 2 a 4 folhas e a densidade for inferior a 50 plantas/m2.;3;Amendoim-bravo (Euphorbia heterophylla) | 0,7* | * dose de 0,7 L/ha quando 2 a 4 folhas e densidade < 50 plantas/m2;validado;"Terrestre: 100 a 300 L/ha; Aérea: 30 a 50 L/ha";Lactofem 240 EC Agrilean
18735;10420;Soja;soja;Alternanthera tenella;alternanthera tenella;Apaga-fogo;apaga-fogo;0.5;0.7;L/ha;;;;1;;84;;"Aplicação Terrestre: deve ser aplicado em uma única vez sobre a cultura da soja e das plantas infestantes quando a cultura estiver do 3º ao 4º trifólio e as plantas infestantes de 2 a 4 folhas, utilizando de 0,5 a 0,7 L/ha; quando as plantas infestantes estiverem de 4 a 6 folhas utilizar a dose de 0,7 L/ha. Aplicação Aérea: mesmas doses.";3;SOJA | Apaga-fogo (Alternanthera tenella) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;"Terrestre: 100 a 300 L/ha; Aérea: 30 a 50 L/ha";Lactofem 240 EC Agrilean
18747;10420;Soja;soja;Portulaca oleracea;portulaca oleracea;Beldroega;beldroega;0.5;0.7;L/ha;;;;1;;84;;"Aplicação Terrestre: deve ser aplicado em uma única vez sobre a cultura da soja e das plantas infestantes quando a cultura estiver do 3º ao 4º trifólio e as plantas infestantes de 2 a 4 folhas, utilizando de 0,5 a 0,7 L/ha; quando as plantas infestantes estiverem de 4 a 6 folhas utilizar a dose de 0,7 L/ha. Aplicação Aérea: mesmas doses.";3;SOJA | Beldroega (Portulaca oleracea) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;"Terrestre: 100 a 300 L/ha; Aérea: 30 a 50 L/ha";Lactofem 240 EC Agrilean
18733;10420;Soja;soja;Acanthospermum hispidum;acanthospermum hispidum;Carrapicho-de-carneiro;carrapicho-de-carneiro;0.5;0.7;L/ha;;;;1;;84;;"Aplicação Terrestre: deve ser aplicado em uma única vez sobre a cultura da soja e das plantas infestantes quando a cultura estiver do 3º ao 4º trifólio e as plantas infestantes de 2 a 4 folhas, utilizando de 0,5 a 0,7 L/ha; quando as plantas infestantes estiverem de 4 a 6 folhas utilizar a dose de 0,7 L/ha. Aplicação Aérea: mesmas doses.";3;SOJA | Carrapicho-de-carneiro (Acanthospermum hispidum) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;"Terrestre: 100 a 300 L/ha; Aérea: 30 a 50 L/ha";Lactofem 240 EC Agrilean
18732;10420;Soja;soja;Acanthospermum australe;acanthospermum australe;Carrapicho-rasteiro;carrapicho-rasteiro;0.5;0.7;L/ha;;;;1;;84;;"Aplicação Terrestre: deve ser aplicado em uma única vez sobre a cultura da soja e das plantas infestantes quando a cultura estiver do 3º ao 4º trifólio e as plantas infestantes de 2 a 4 folhas, utilizando de 0,5 a 0,7 L/ha; quando as plantas infestantes estiverem de 4 a 6 folhas utilizar a dose de 0,7 L/ha. Aplicação Aérea: mesmas doses.";3;SOJA | Carrapicho-rasteiro (Acanthospermum australe) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;"Terrestre: 100 a 300 L/ha; Aérea: 30 a 50 L/ha";Lactofem 240 EC Agrilean
18736;10420;Soja;soja;Amaranthus hybridus;amaranthus hybridus;Caruru;caruru;0.5;0.7;L/ha;;;;1;;84;;"Aplicação Terrestre: deve ser aplicado em uma única vez sobre a cultura da soja e das plantas infestantes quando a cultura estiver do 3º ao 4º trifólio e as plantas infestantes de 2 a 4 folhas, utilizando de 0,5 a 0,7 L/ha; quando as plantas infestantes estiverem de 4 a 6 folhas utilizar a dose de 0,7 L/ha. Aplicação Aérea: mesmas doses.";3;SOJA | Caruru (Amaranthus hybridus) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;"Terrestre: 100 a 300 L/ha; Aérea: 30 a 50 L/ha";Lactofem 240 EC Agrilean
18742;10420;Soja;soja;Hyptis suaveolens;hyptis suaveolens;Cheirosa;cheirosa;0.5;0.7;L/ha;;;;1;;84;;"Aplicação Terrestre: deve ser aplicado em uma única vez sobre a cultura da soja e das plantas infestantes quando a cultura estiver do 3º ao 4º trifólio e as plantas infestantes de 2 a 4 folhas, utilizando de 0,5 a 0,7 L/ha; quando as plantas infestantes estiverem de 4 a 6 folhas utilizar a dose de 0,7 L/ha. Aplicação Aérea: mesmas doses.";3;SOJA | Cheirosa (Hyptis suaveolens) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;"Terrestre: 100 a 300 L/ha; Aérea: 30 a 50 L/ha";Lactofem 240 EC Agrilean
18743;10420;Soja;soja;Ipomoea grandifolia;ipomoea grandifolia;Corda-de-viola;corda-de-viola;0.5;0.7;L/ha;;;;1;;84;;"Aplicação Terrestre: deve ser aplicado em uma única vez sobre a cultura da soja e das plantas infestantes quando a cultura estiver do 3º ao 4º trifólio e as plantas infestantes de 2 a 4 folhas, utilizando de 0,5 a 0,7 L/ha; quando as plantas infestantes estiverem de 4 a 6 folhas utilizar a dose de 0,7 L/ha. Aplicação Aérea: mesmas doses.";3;SOJA | Corda-de-viola (Ipomoea grandifolia) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;"Terrestre: 100 a 300 L/ha; Aérea: 30 a 50 L/ha";Lactofem 240 EC Agrilean
18744;10420;Soja;soja;Ipomoea purpurea;ipomoea purpurea;Corda-de-viola;corda-de-viola;0.5;0.7;L/ha;;;;1;;84;;"Aplicação Terrestre: deve ser aplicado em uma única vez sobre a cultura da soja e das plantas infestantes quando a cultura estiver do 3º ao 4º trifólio e as plantas infestantes de 2 a 4 folhas, utilizando de 0,5 a 0,7 L/ha; quando as plantas infestantes estiverem de 4 a 6 folhas utilizar a dose de 0,7 L/ha. Aplicação Aérea: mesmas doses.";3;SOJA | Corda-de-viola (Ipomoea purpurea) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;"Terrestre: 100 a 300 L/ha; Aérea: 30 a 50 L/ha";Lactofem 240 EC Agrilean
18751;10420;Soja;soja;Tridax procumbens;tridax procumbens;Erva-de-touro;erva-de-touro;0.5;0.7;L/ha;;;;1;;84;;"Aplicação Terrestre: deve ser aplicado em uma única vez sobre a cultura da soja e das plantas infestantes quando a cultura estiver do 3º ao 4º trifólio e as plantas infestantes de 2 a 4 folhas, utilizando de 0,5 a 0,7 L/ha; quando as plantas infestantes estiverem de 4 a 6 folhas utilizar a dose de 0,7 L/ha. Aplicação Aérea: mesmas doses.";3;SOJA | Erva-de-touro (Tridax procumbens) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;"Terrestre: 100 a 300 L/ha; Aérea: 30 a 50 L/ha";Lactofem 240 EC Agrilean
